ARG, Deaths (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2010-2013       45              1969.00         3292.00         5261.00
2010-2013       46              2077.00         3412.00         5489.00
2010-2013       47              2410.00         3770.00         6180.00
2010-2013       48              2571.00         4178.00         6749.00
2010-2013       49              2780.00         4399.00         7179.00
2010-2013       50              2949.00         5010.00         7959.00
2010-2013       51              3123.00         5207.00         8330.00
2010-2013       52              3447.00         5705.00         9152.00
2010-2013       53              3694.00         6192.00         9886.00
2010-2013       54              3920.00         6720.00        10640.00
2010-2013       55              4352.00         7572.00        11924.00
2010-2013       56              4562.00         7953.00        12515.00
2010-2013       57              4787.00         8436.00        13223.00
2010-2013       58              5214.00         9146.00        14360.00
2010-2013       59              5509.00         9797.00        15306.00
2010-2013       60              5946.00        10561.00        16507.00
2010-2013       61              6121.00        11049.00        17170.00
2010-2013       62              6719.00        11617.00        18336.00
2010-2013       63              7091.00        12075.00        19166.00
2010-2013       64              7411.00        12421.00        19832.00
2010-2013       65              7680.00        13284.00        20964.00
2010-2013       66              7975.00        13681.00        21656.00
2010-2013       67              8456.00        14030.00        22486.00
2010-2013       68              8749.00        14500.00        23249.00
2010-2013       69              9024.00        14670.00        23694.00
2010-2013       70              9499.00        15199.00        24698.00
2010-2013       71             10207.00        15247.00        25454.00
2010-2013       72             10688.00        15879.00        26567.00
2010-2013       73             11245.00        15883.00        27128.00
2010-2013       74             11791.00        16122.00        27913.00
2010-2013       75             12606.00        16583.00        29189.00
2010-2013       76             13369.00        16600.00        29969.00
2010-2013       77             14226.00        16870.00        31096.00
2010-2013       78             15292.00        17452.00        32744.00
2010-2013       79             16565.00        17649.00        34214.00
2010-2013       80             18082.00        18150.00        36232.00
2010-2013       81             19188.00        18063.00        37251.00
2010-2013       82             20411.00        17761.00        38172.00
2010-2013       83             21224.00        17236.00        38460.00
2010-2013       84             21686.00        16414.00        38100.00
2010-2013       85             22270.00        15492.00        37762.00
2010-2013       86             22234.00        14597.00        36831.00
2010-2013       87             21955.00        13624.00        35579.00
2010-2013       88             21213.00        12265.00        33478.00
2010-2013       89             20122.00        10942.00        31064.00
2010-2013       90             18706.00         9271.00        27977.00
2010-2013       91             16798.00         7572.00        24370.00
2010-2013       92             14249.00         6147.00        20396.00
2010-2013       93             11945.00         4683.00        16628.00
2010-2013       94             10073.00         3609.00        13682.00
2010-2013       95              8532.00         2821.00        11353.00
2010-2013       96              6999.00         2102.00         9101.00
2010-2013       97              5372.00         1538.00         6910.00
2010-2013       98              4076.00         1119.00         5195.00
2010-2013       99              3105.00          867.00         3972.00
2010-2013      100              1942.36          475.22         2417.58
2010-2013      101              1299.48          302.99         1602.47
2010-2013      102               841.03          187.48         1028.51
2010-2013      103               527.29          112.81          640.10
2010-2013      104               318.10           66.52          384.62
2010-2013      105               185.59           38.07          223.66
2010-2013      106               105.24           21.09          126.33
2010-2013      107                57.67           11.41           69.08
2010-2013      108                30.72            6.03           36.75
2010-2013      109                15.91            3.12           19.03
2010-2013      110+               12.63            0.25           12.88
