ARG, Death rates (period 1x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2010-2013       71             0.019542        0.037963        0.027549
2010-2013       72             0.021190        0.041977        0.030099
2010-2013       73             0.023056        0.044504        0.032119
2010-2013       74             0.024958        0.047832        0.034482
2010-2013       75             0.027560        0.052272        0.037680
2010-2013       76             0.030258        0.055893        0.040562
2010-2013       77             0.033458        0.061075        0.044334
2010-2013       78             0.037547        0.068488        0.049455
2010-2013       79             0.042729        0.075722        0.055117
2010-2013       80             0.049443        0.085967        0.062811
2010-2013       81             0.056007        0.094988        0.069921
2010-2013       82             0.063954        0.103848        0.077874
2010-2013       83             0.071888        0.112629        0.085796
2010-2013       84             0.080147        0.121389        0.093890
2010-2013       85             0.091242        0.132529        0.104612
2010-2013       86             0.106331        0.152989        0.120950
2010-2013       87             0.130352        0.188163        0.147732
2010-2013       88             0.161537        0.233893        0.182185
2010-2013       89             0.204345        0.304120        0.231045
2010-2013       90             0.245502        0.362019        0.274812
2010-2013       91             0.269117        0.379824        0.295916
2010-2013       92             0.285942        0.408693        0.314402
2010-2013       93             0.304332        0.420926        0.330082
2010-2013       94             0.329123        0.440252        0.352601
2010-2013       95             0.361785        0.472836        0.384207
2010-2013       96             0.393570        0.490737        0.412431
2010-2013       97             0.411078        0.504048        0.428677
2010-2013       98             0.438920        0.530009        0.455794
2010-2013       99             0.499710        0.644245        0.525441
2010-2013      100             0.480339        0.586351        0.498039
2010-2013      101             0.507335        0.612115        0.524305
2010-2013      102             0.534986        0.639569        0.551422
2010-2013      103             0.565037        0.671648        0.581299
2010-2013      104             0.595972        0.712422        0.613310
2010-2013      105             0.625918        0.761172        0.645440
2010-2013      106             0.660095        0.823721        0.682736
2010-2013      107             0.708027        0.942456        0.738363
2010-2013      108             0.778641        1.200797        0.826307
2010-2013      109             0.907156        2.117647        1.000964
2010-2013      110+            1.311754        6.000000        1.331954
