ARG, Exposure to risk (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2010-2013       12           1333117.74      1388222.64      2721340.38
2010-2013       13           1342453.55      1393232.49      2735686.04
2010-2013       14           1348730.52      1397300.52      2746031.03
2010-2013       15           1354008.73      1401383.85      2755392.58
2010-2013       16           1356541.15      1402870.59      2759411.74
2010-2013       17           1356830.90      1401932.33      2758763.22
2010-2013       18           1356068.21      1399801.25      2755869.46
2010-2013       19           1353819.88      1395876.90      2749696.78
2010-2013       20           1350224.71      1390258.46      2740483.17
2010-2013       21           1344971.15      1382896.74      2727867.89
2010-2013       22           1337095.92      1372846.79      2709942.71
2010-2013       23           1326480.80      1359971.13      2686451.92
2010-2013       24           1313011.81      1344185.36      2657197.17
2010-2013       25           1298028.56      1326741.55      2624770.11
2010-2013       26           1285031.36      1311198.35      2596229.71
2010-2013       27           1277899.04      1301456.99      2579356.04
2010-2013       28           1279082.22      1299923.70      2579005.92
2010-2013       29           1288618.51      1306606.48      2595224.99
2010-2013       30           1303072.24      1317989.18      2621061.42
2010-2013       31           1315043.31      1326972.52      2642015.83
2010-2013       32           1316476.22      1325825.50      2642301.72
2010-2013       33           1302856.94      1309974.34      2612831.28
2010-2013       34           1274166.15      1279441.90      2553608.05
2010-2013       35           1234438.68      1238076.18      2472514.86
2010-2013       36           1190299.67      1192362.24      2382661.90
2010-2013       37           1147418.11      1147977.33      2295395.43
2010-2013       38           1108203.13      1107284.44      2215487.57
2010-2013       39           1072699.23      1070351.54      2143050.77
2010-2013       40           1040263.20      1036346.22      2076609.42
2010-2013       41           1010615.26      1005087.37      2015702.63
2010-2013       42            984572.16       977432.85      1962005.01
2010-2013       43            963377.32       954595.37      1917972.69
2010-2013       44            947310.73       936860.78      1884171.51
2010-2013       45            935280.86       922888.90      1858169.76
2010-2013       46            925433.33       910393.42      1835826.75
2010-2013       47            916314.08       897201.27      1813515.35
2010-2013       48            907453.43       882361.17      1789814.60
2010-2013       49            898731.13       865784.39      1764515.52
2010-2013       50            890058.34       847851.73      1737910.07
2010-2013       51            881367.80       829939.69      1711307.50
2010-2013       52            872282.69       813071.75      1685354.44
2010-2013       53            862585.97       797595.74      1660181.71
2010-2013       54            852310.10       783775.36      1636085.46
2010-2013       55            841134.06       770794.89      1611928.94
2010-2013       56            828736.26       757364.40      1586100.66
2010-2013       57            814757.42       742204.29      1556961.71
2010-2013       58            798594.71       724079.95      1522674.66
2010-2013       59            780186.60       702811.81      1482998.41
2010-2013       60            759924.52       679390.02      1439314.54
2010-2013       61            738587.99       654940.12      1393528.11
2010-2013       62            716541.85       630009.90      1346551.76
2010-2013       63            693760.15       604878.17      1298638.32
2010-2013       64            670441.03       579308.56      1249749.59
2010-2013       65            646710.00       552924.13      1199634.12
2010-2013       66            623130.36       526505.49      1149635.85
2010-2013       67            600441.17       500755.89      1101197.05
2010-2013       68            579343.47       475758.04      1055101.51
2010-2013       69            559740.20       451213.42      1010953.62
2010-2013       70            540809.77       426305.53       967115.30
2010-2013       71            522306.80       401631.21       923938.01
2010-2013       72            504385.66       378282.00       882667.67
2010-2013       73            487723.16       356889.68       844612.83
2010-2013       74            472439.94       337051.35       809491.29
2010-2013       75            457408.32       317244.44       774652.75
2010-2013       76            441837.75       296998.23       738835.98
2010-2013       77            425186.21       276219.59       701405.81
2010-2013       78            407280.52       254819.53       662100.05
2010-2013       79            387673.53       233075.88       620749.41
2010-2013       80            365717.04       211128.63       576845.67
2010-2013       81            342599.40       190160.70       532760.11
2010-2013       82            319148.96       171029.52       490178.48
2010-2013       83            295237.03       153033.14       448270.17
2010-2013       84            270577.08       135218.74       405795.82
2010-2013       85            244077.04       116895.45       360972.49
2010-2013       86            209102.17        95412.00       304514.18
2010-2013       87            168428.90        72405.49       240834.40
2010-2013       88            131319.95        52438.53       183758.48
2010-2013       89             98470.71        35979.26       134449.97
2010-2013       90             76195.05        25609.13       101804.18
2010-2013       91             62418.89        19935.57        82354.47
2010-2013       92             49831.75        15040.63        64872.38
2010-2013       93             39249.89        11125.48        50375.38
2010-2013       94             30605.54         8197.57        38803.11
2010-2013       95             23583.04         5966.13        29549.17
2010-2013       96             17783.39         4283.35        22066.74
2010-2013       97             13068.08         3051.30        16119.38
2010-2013       98              9286.42         2111.28        11397.71
2010-2013       99              6213.60         1345.76         7559.37
2010-2013      100              4043.73          810.47         4854.20
2010-2013      101              2561.38          494.99         3056.37
2010-2013      102              1572.06          293.14         1865.20
2010-2013      103               933.20          167.96         1101.16
2010-2013      104               533.75           93.37          627.12
2010-2013      105               296.51           50.02          346.52
2010-2013      106               159.43           25.60          185.04
2010-2013      107                81.45           12.11           93.56
2010-2013      108                39.45            5.02           44.48
2010-2013      109                17.54            1.47           19.01
2010-2013      110+                9.63            0.04            9.67
